ID,Name,Date,Time,Latitude,Longitude,CPM,uSvh
1,Geiger1,11/25/2022,20:35:54,43.40312957,-72.42850494,8.00,0.05
5,Geiger5,11/25/2022,20:36:24,43.40159606,-72.42071533,22.00,0.14
7,Geiger7,11/25/2022,20:36:54,43.40274047,-72.41436004,24.00,0.16
11,Geiger11,11/25/2022,20:37:24,43.40605163,-72.40946960,22.00,0.14
14,Geiger14,11/25/2022,20:37:54,43.40802383,-72.40750885,20.00,0.13
18,Geiger18,11/25/2022,20:38:24,43.41223144,-72.40610504,18.00,0.12
21,Geiger21,11/25/2022,20:38:54,43.41662216,-72.40426635,22.00,0.14
23,Geiger23,11/25/2022,20:39:24,43.42137145,-72.40243530,14.00,0.09
25,Geiger25,11/25/2022,20:39:55,43.42664337,-72.40074157,22.00,0.14
27,Geiger27,11/25/2022,20:40:25,43.43140411,-72.39785766,16.00,0.10
